Censo,Cuadro,Provincia,Departamento,Indicador,Unidad de registro,Valor,Link
2002,"Cuadro 4.24. Buenos Aires. Bosques y montes implantados. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,almirante brown,Álamo,Hectáreas,0.0,06028
2002,"Cuadro 4.24. Buenos Aires. Bosques y montes implantados. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,almirante brown,Eucalipto,Hectáreas,30.0,06028
2002,"Cuadro 4.24. Buenos Aires. Bosques y montes implantados. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,almirante brown,Pino,Hectáreas,0.0,06028
2002,"Cuadro 4.24. Buenos Aires. Bosques y montes implantados. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,almirante brown,Otras coníferas,Hectáreas,0.0,06028
2002,"Cuadro 4.24. Buenos Aires. Bosques y montes implantados. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,almirante brown,Sauces,Hectáreas,0.0,06028
2002,"Cuadro 4.24. Buenos Aires. Bosques y montes implantados. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,almirante brown,Otros,Hectáreas,0.0,06028
2002,"Cuadro 4.24. Buenos Aires. Bosques y montes implantados. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,almirante brown,Sin discriminar,Hectáreas,0.0,06028
2002,"Cuadro 4.24. Buenos Aires. Bosques y montes implantados. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,arrecifes,Total,Hectáreas,193.5,06077
2002,"Cuadro 4.24. Buenos Aires. Bosques y montes implantados. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,arrecifes,Álamo,Hectáreas,0.0,06077
2002,"Cuadro 4.24. Buenos Aires. Bosques y montes implantados. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,arrecifes,Eucalipto,Hectáreas,0.0,06077
2002,"Cuadro 4.24. Buenos Aires. Bosques y montes implantados. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,arrecifes,Pino,Hectáreas,0.0,06077
2002,"Cuadro 4.24. Buenos Aires. Bosques y montes implantados. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,arrecifes,Otras coníferas,Hectáreas,0.0,06077
2002,"Cuadro 4.24. Buenos Aires. Bosques y montes implantados. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,arrecifes,Sauces,Hectáreas,0.0,06077
2002,"Cuadro 4.24. Buenos Aires. Bosques y montes implantados. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,arrecifes,Otros,Hectáreas,0.0,06077
