Censo,Cuadro,Provincia,Departamento,Indicador,Unidad de registro,Valor,Link
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,almirante brown,Olivo  | Aceite ,Hectáreas,0.0,06028
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,almirante brown,Olivo  | Conserva ,Hectáreas,0.0,06028
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,almirante brown,Tuna,Hectáreas,0.0,06028
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,almirante brown,Vid,Hectáreas,0.0,06028
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,almirante brown,Otros frutales,Hectáreas,0.0,06028
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,almirante brown,Sin discriminar ,Hectáreas,0.0,06028
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,avellaneda,Total,Hectáreas,33.3,06035
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,avellaneda,Cítricos  | Limonero ,Hectáreas,0.0,06035
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,avellaneda,Cítricos  | Mandarino ,Hectáreas,0.0,06035
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,avellaneda,Cítricos  | Naranjo ,Hectáreas,0.0,06035
