censo,cuadro,link,provincia,departamento,unidad_de_registro,indicador,valor,escala_total
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06007,buenos aires,adolfo alsina,Hectárea,"2.000,1 - 2.500",33884,1000-2500
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06007,buenos aires,adolfo alsina,Hectárea,"2.500,1 - 3.500",28791,2.500-5.000
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06007,buenos aires,adolfo alsina,Hectárea,"3.500,1 - 5.000",41744,2.500-5.000
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06007,buenos aires,adolfo alsina,Hectárea,"5.000,1 - 7.500",5650,5.000-10.000
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06007,buenos aires,adolfo alsina,Hectárea,"7.500,1 - 10.000",8270,5.000-10.000
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06007,buenos aires,adolfo alsina,Hectárea,"10.000,1 - 20.000",0,10.000 y más
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06007,buenos aires,adolfo alsina,Hectárea,Más de 20.000,0,10.000 y más
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06014,buenos aires,adolfo gonzales chaves,EAP,Tot-l,346,NA
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06014,buenos aires,adolfo gonzales chaves,EAP,EAP sin límites definidos,0,EAP sin límites definidos
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06014,buenos aires,adolfo gonzales chaves,EAP,0 - 5,2,0-25
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06014,buenos aires,adolfo gonzales chaves,EAP,"5,1 - 10",5,0-25
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06014,buenos aires,adolfo gonzales chaves,EAP,"10,1 - 25",2,0-25
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06014,buenos aires,adolfo gonzales chaves,EAP,"25,1 - 50",6,25-50
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06014,buenos aires,adolfo gonzales chaves,EAP,"50,1 - 100",23,50-100
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06014,buenos aires,adolfo gonzales chaves,EAP,"100,1 - 200",42,100-200
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06014,buenos aires,adolfo gonzales chaves,EAP,"200,1 - 500",86,200-500
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06014,buenos aires,adolfo gonzales chaves,EAP,"500,1 - 1.000",89,500-1000
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06014,buenos aires,adolfo gonzales chaves,EAP,"1.000,1 - 1.500",38,1000-2500
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06014,buenos aires,adolfo gonzales chaves,EAP,"1.500,1 - 2.000",21,1000-2500
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06014,buenos aires,adolfo gonzales chaves,EAP,"2.000,1 - 2.500",6,1000-2500
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06014,buenos aires,adolfo gonzales chaves,EAP,"2.500,1 - 3.500",10,2.500-5.000
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06014,buenos aires,adolfo gonzales chaves,EAP,"3.500,1 - 5.000",11,2.500-5.000
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06014,buenos aires,adolfo gonzales chaves,EAP,"5.000,1 - 7.500",4,5.000-10.000
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06014,buenos aires,adolfo gonzales chaves,EAP,"7.500,1 - 10.000",1,5.000-10.000
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06014,buenos aires,adolfo gonzales chaves,EAP,"10.000,1 - 20.000",0,10.000 y más
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06014,buenos aires,adolfo gonzales chaves,EAP,Más de 20.000,0,10.000 y más
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06014,buenos aires,adolfo gonzales chaves,Hectárea,Tot-l,302585.5,NA
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06014,buenos aires,adolfo gonzales chaves,Hectárea,EAP sin límites definidos,-1,EAP sin límites definidos
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06014,buenos aires,adolfo gonzales chaves,Hectárea,0 - 5,9,0-25
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06014,buenos aires,adolfo gonzales chaves,Hectárea,"5,1 - 10",34,0-25
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06014,buenos aires,adolfo gonzales chaves,Hectárea,"10,1 - 25",33,0-25
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06014,buenos aires,adolfo gonzales chaves,Hectárea,"25,1 - 50",274,25-50
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06014,buenos aires,adolfo gonzales chaves,Hectárea,"50,1 - 100",1912,50-100
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06014,buenos aires,adolfo gonzales chaves,Hectárea,"100,1 - 200",6072.5,100-200
